dataset,N,d,eps,min_samples,n_clusters,n_core,n_noise,initial_fit_ms,avg_retrain_ms,avg_unlearn_ms,speedup,avg_ari,avg_n_affected,n_trials
synth_blobs_500,500,2,0.3,5,3,448,28,1.6467571258544922,7.321071624755859,384.39807891845703,0.019045546859532796,0.9950997882272858,0.4,5
synth_blobs_1000,1000,2,0.3,5,3,945,25,0.5459785461425781,14.31879997253418,0.5643844604492188,25.370648867860762,0.9996791657254738,0.0,5
synth_blobs_5000,5000,2,0.3,5,9,4841,71,72.24917411804199,61.212825775146484,9.668779373168945,6.330977614921413,1.0,0.0,5
synth_blobs_10000,10000,2,0.3,5,15,9693,139,133.40258598327637,128.7517547607422,31.875085830688473,4.039259860965879,1.0,0.0,5
synth_blobs_50000,50000,2,0.3,5,12,49804,76,1550.0457286834717,1531.475591659546,425.92411041259766,3.5956536721435834,1.0,0.0,5
synth_blobs_100000,100000,2,0.3,5,8,99811,78,6034.97576713562,6766.366815567017,2349.3693351745605,2.8800779486909702,1.0,0.0,5
digits_pca10,1797,10,3.5,5,1,1797,0,221.77386283874512,235.93883514404297,44.565534591674805,5.294199594053971,1.0,0.0,5
synth_50d_1000,1000,50,5.0,5,10,1000,0,30.113697052001953,22.746658325195312,40.18716812133789,0.5660179452435138,1.0,0.0,5
synth_50d_5000,5000,50,5.0,5,10,5000,0,262.6330852508545,278.47933769226074,1695.4747676849365,0.16424858865490913,1.0,0.0,5
synth_50d_10000,10000,50,5.0,5,10,10000,0,814.0759468078613,752.5713920593262,7035.5544090271,0.10696689248735329,1.0,0.0,5
